Feature,F-score
GB_GBN_wind_profile,303240.74736075103
lag_24,16342.209262619748
lag_48,6438.81929908107
Basel Soil Moisture [100-255 cm down],3431.5550227756794
Basel Soil Moisture Available To Plant [100-255 cm down],3431.5548126045323
