actual,nn_predicted,naive_predicted
4178.0,4190.202,3488.0
4304.0,4327.0557,3486.0
4566.0,4574.25,3369.0
4562.0,4519.472,3139.0
4827.0,4759.0005,3113.0
4742.0,4722.2603,3021.0
4698.0,4687.4087,2832.0
4623.0,4621.915,2647.0
4815.0,4793.3696,2557.0
4860.0,4844.9614,2506.0
4699.0,4715.5317,2542.0
4628.0,4675.087,2552.0
4432.0,4503.292,2728.0
4235.0,4320.309,2940.0
4074.0,4183.9727,2955.0
3892.0,4047.8308,1944.0
3834.0,4005.8096,2678.0
3616.0,3798.3823,2993.0
3622.0,3847.8555,3062.0
3793.0,3968.9702,3088.0
2592.0,2911.0986,3462.0
4377.0,4505.1685,3759.0
4719.0,4835.565,3709.0
5089.0,5217.019,4034.0
5685.0,5739.915,4178.0
6160.0,6166.9062,4304.0
7025.0,6951.4194,4566.0
7998.0,7856.0337,4562.0
8610.0,8352.5625,4827.0
8646.0,8310.88,4742.0
8662.0,8343.03,4698.0
9241.0,8830.365,4623.0
9720.0,9231.888,4815.0
10128.0,9577.161,4860.0
10257.0,9687.61,4699.0
10613.0,9991.187,4628.0
11108.0,10438.78,4432.0
11333.0,10630.801,4235.0
11181.0,10500.076,4074.0
11297.0,10606.253,3892.0
11395.0,10695.024,3834.0
11320.0,10643.589,3616.0
11460.0,10755.988,3622.0
11469.0,10735.053,3793.0
11562.0,10815.319,2592.0
11552.0,10770.124,4377.0
11844.0,11006.488,4719.0
11877.0,11032.796,5089.0
11597.0,10784.46,5685.0
7131.0,7050.3955,6160.0
11361.0,10615.317,7025.0
10941.0,10256.992,7998.0
10857.0,10190.38,8610.0
10603.0,9939.796,8646.0
10391.0,9764.329,8662.0
10389.0,9763.792,9241.0
10474.0,9830.872,9720.0
10475.0,9846.835,10128.0
10349.0,9753.757,10257.0
10472.0,9862.023,10613.0
10606.0,9996.985,11108.0
10817.0,10170.32,11333.0
11093.0,10425.546,11181.0
11682.0,10918.366,11297.0
11968.0,11148.677,11395.0
12033.0,11229.702,11320.0
12178.0,11363.28,11460.0
12109.0,11292.239,11469.0
12015.0,11197.011,11562.0
12222.0,11367.647,11552.0
12238.0,11408.087,11844.0
12154.0,11319.612,11877.0
11940.0,11141.402,11597.0
11587.0,10898.556,7131.0
11112.0,10471.716,11361.0
10350.0,9817.313,10941.0
9758.0,9313.853,10857.0
9259.0,8837.894,10603.0
5613.0,5680.196,10391.0
8653.0,8339.321,10389.0
8420.0,8069.666,10474.0
7785.0,7518.941,10475.0
7287.0,7130.8257,10349.0
6465.0,6423.5776,10472.0
5752.0,5774.7666,10606.0
5252.0,5279.764,10817.0
5107.0,5155.0996,11093.0
4650.0,4765.2085,11682.0
4293.0,4427.231,11968.0
4288.0,4455.314,12033.0
4457.0,4619.3945,12178.0
4468.0,4647.165,12109.0
4197.0,4391.904,12015.0
4249.0,4412.0493,12222.0
4487.0,4626.498,12238.0
4863.0,4982.132,12154.0
5493.0,5532.393,11940.0
6417.0,6331.191,11587.0
7442.0,7240.7534,11112.0
8500.0,8179.346,10350.0
9301.0,8848.511,9758.0
9788.0,9229.66,9259.0
9888.0,9330.8955,5613.0
9743.0,9218.612,8653.0
9601.0,9095.997,8420.0
9371.0,8921.153,7785.0
9396.0,8976.993,7287.0
5854.0,5898.931,6465.0
9999.0,9499.88,5752.0
10032.0,9513.316,5252.0
9817.0,9348.252,5107.0
9329.0,8939.531,4650.0
9447.0,9056.497,4293.0
9557.0,9161.423,4288.0
9788.0,9349.881,4457.0
9980.0,9536.24,4468.0
9970.0,9541.114,4197.0
9882.0,9461.956,4249.0
10154.0,9699.36,4487.0
10252.0,9780.999,4863.0
10313.0,9826.455,5493.0
10463.0,9949.52,6417.0
10168.0,9708.133,7442.0
9431.0,9111.665,8500.0
10087.0,9666.069,9301.0
9820.0,9403.114,9788.0
9824.0,9428.751,9888.0
9767.0,9375.765,9743.0
9728.0,9345.31,9601.0
9704.0,9326.953,9371.0
9832.0,9427.755,9396.0
9485.0,9157.827,5854.0
9257.0,8972.651,9999.0
5540.0,5720.122,10032.0
8914.0,8680.706,9817.0
8720.0,8539.499,9329.0
8989.0,8758.351,9447.0
9203.0,8944.362,9557.0
9039.0,8807.292,9788.0
8639.0,8463.919,9980.0
8208.0,8099.2515,9970.0
8240.0,8127.3486,9882.0
7592.0,7573.5156,10154.0
7471.0,7459.3857,10252.0
6936.0,6989.028,10313.0
7172.0,7191.9653,10463.0
7488.0,7462.2725,10168.0
7955.0,7867.1973,9431.0
8516.0,8348.875,10087.0
8984.0,8677.608,9820.0
8933.0,8616.983,9824.0
8666.0,8387.579,9767.0
9157.0,8812.3125,9728.0
9297.0,8925.328,9704.0
9448.0,9039.749,9832.0
10051.0,9523.247,9485.0
10028.0,9483.126,9257.0
9489.0,9068.843,5540.0
8902.0,8595.032,8914.0
8398.0,8158.7827,8720.0
7731.0,7544.635,8989.0
7158.0,7016.311,9203.0
6425.0,6403.2915,9039.0
5878.0,5903.7817,8639.0
5273.0,5382.517,8208.0
4621.0,4792.4956,8240.0
4237.0,4466.9478,7592.0
4034.0,4270.8447,7471.0
3880.0,4151.544,6936.0
3524.0,3800.1372,7172.0
2990.0,3357.811,7488.0
2682.0,3124.5242,7955.0
2688.0,3053.2275,8516.0
2545.0,2883.9312,8984.0
2571.0,2942.53,8933.0
2913.0,3273.8406,8666.0
3309.0,3614.6055,9157.0
3622.0,3903.8848,9297.0
3986.0,4234.879,9448.0
4457.0,4671.7866,10051.0
4708.0,4913.8877,10028.0
5014.0,5120.94,9489.0
5271.0,5341.406,8902.0
5451.0,5436.929,8398.0
5982.0,5905.4214,7731.0
6312.0,6159.7583,7158.0
6427.0,6312.0264,6425.0
6538.0,6429.019,5878.0
7098.0,6907.902,5273.0
7402.0,7211.7554,4621.0
7589.0,7405.5737,4237.0
7645.0,7459.8706,4034.0
7807.0,7615.9814,3880.0
7602.0,7432.291,3524.0
7449.0,7302.142,2990.0
7148.0,7048.8203,2682.0
6871.0,6803.605,2688.0
6358.0,6295.95,2545.0
6041.0,6028.5835,2571.0
5823.0,5839.6157,2913.0
5648.0,5684.0337,3309.0
5265.0,5358.1978,3622.0
5052.0,5195.4106,3986.0
4769.0,4960.32,4457.0
4638.0,4859.4,4708.0
4552.0,4769.9736,5014.0
4395.0,4623.793,5271.0
4387.0,4637.346,5451.0
4231.0,4487.856,5982.0
3792.0,4097.3516,6312.0
3410.0,3749.5625,6427.0
2976.0,3359.8542,6538.0
2759.0,3192.907,7098.0
2538.0,3003.8013,7402.0
2472.0,2961.963,7589.0
2482.0,2998.1052,7645.0
2384.0,2918.8372,7807.0
2167.0,2718.4482,7602.0
1884.0,2467.9756,7449.0
1630.0,2281.8804,7148.0
1423.0,2098.9536,6871.0
1263.0,1928.6709,6358.0
1168.0,1855.1501,6041.0
965.0,1706.8949,5823.0
937.0,1679.8239,5648.0
953.0,1695.7931,5265.0
995.0,1731.1034,5052.0
1137.0,1839.2177,4769.0
1178.0,1876.3275,4638.0
1293.0,1957.9978,4552.0
1586.0,2201.6638,4395.0
1755.0,2342.5886,4387.0
2171.0,2690.53,4231.0
2443.0,2922.501,3792.0
2822.0,3268.749,3410.0
2726.0,3191.1362,2976.0
2927.0,3370.0398,2759.0
2871.0,3288.3416,2538.0
2953.0,3362.986,2472.0
3098.0,3503.6294,2482.0
3220.0,3578.255,2384.0
2958.0,3347.8135,2167.0
2756.0,3169.9385,1884.0
2376.0,2868.7742,1630.0
2263.0,2766.1108,1423.0
1997.0,2473.7947,1263.0
1816.0,2313.2983,1168.0
1772.0,2220.0623,965.0
1893.0,2319.6436,937.0
1874.0,2306.6907,953.0
2063.0,2469.973,995.0
2239.0,2629.3542,1137.0
2539.0,2918.9893,1178.0
2959.0,3288.485,1293.0
3380.0,3668.1301,1586.0
3857.0,4047.7432,1755.0
4743.0,4846.2124,2171.0
5474.0,5533.099,2443.0
6247.0,6201.283,2822.0
6855.0,6753.4487,2726.0
7183.0,7055.0845,2927.0
7999.0,7848.549,2871.0
9015.0,8731.452,2953.0
9820.0,9324.8545,3098.0
10018.0,9509.024,3220.0
9228.0,8865.297,2958.0
8049.0,7849.872,2756.0
7480.0,7394.597,2376.0
7116.0,7070.2075,2263.0
7579.0,7449.9644,1997.0
7804.0,7674.4155,1816.0
7771.0,7648.0347,1772.0
7627.0,7582.7876,1893.0
7173.0,7178.702,1874.0
6891.0,6923.7593,2063.0
6542.0,6618.487,2239.0
6009.0,6186.2007,2539.0
5603.0,5803.6646,2959.0
5083.0,5332.411,3380.0
4588.0,4908.014,3857.0
3899.0,4273.9863,4743.0
3362.0,3780.798,5474.0
3704.0,4083.1196,6247.0
3263.0,3688.8608,6855.0
2819.0,3294.7817,7183.0
2690.0,3175.247,7999.0
2298.0,2869.642,9015.0
2033.0,2647.312,9820.0
1972.0,2618.5076,10018.0
1996.0,2642.137,9228.0
1948.0,2600.9697,8049.0
2136.0,2755.1912,7480.0
2265.0,2857.0452,7116.0
2077.0,2651.2085,7579.0
2137.0,2699.5596,7804.0
2350.0,2876.601,7771.0
2570.0,3070.8286,7627.0
2757.0,3257.0845,7173.0
2672.0,3201.2412,6891.0
2863.0,3369.712,6542.0
2673.0,3215.6145,6009.0
2485.0,3043.819,5603.0
2328.0,2908.563,5083.0
2080.0,2713.7646,4588.0
1873.0,2526.3213,3899.0
1799.0,2451.3306,3362.0
1505.0,2235.8875,3704.0
1657.0,2341.9365,3263.0
1600.0,2314.5127,2819.0
1684.0,2366.9421,2690.0
1844.0,2485.4285,2298.0
1828.0,2479.8774,2033.0
1932.0,2559.7356,1972.0
1782.0,2417.766,1996.0
1684.0,2359.7307,1948.0
1653.0,2351.2917,2136.0
1557.0,2192.0364,2265.0
1423.0,2078.5144,2077.0
