mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__colsample_bytree,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.5097463130950928,0.7843700089448628,0.02532782554626465,0.004167654994902424,0.8,0.01,3,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-164509.85051436923,-840607.117356621,-397264.0894919854,-1355390.778589138,-817505.5598671129,-715055.4791638453,409970.8246091894,29,-119486.42223596766,-120854.9692181869,-159485.14197205895,-361579.28437394416,-422495.1050491169,-236780.18456985493,129023.9147193215
4.687289619445801,1.7129752084018484,0.027959632873535156,0.004195045858944561,0.8,0.01,3,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-169254.24041501258,-842723.3872699417,-403430.16667587945,-1356331.1786213187,-817893.8401169251,-717926.5626198155,408185.60924175195,31,-121519.91360850155,-121886.3448750612,-160504.24771615118,-362184.7448576091,-423153.0234416967,-237849.65489980398,128653.77023701173
4.8181387424469,1.086629333080323,0.027564811706542968,0.0036036390750433635,0.8,0.01,3,200,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-164519.6783982408,-840607.3613591366,-397264.9486859169,-1355390.7731773604,-817506.2234020378,-715057.7970045385,409968.0982799323,30,-119487.33870975651,-120855.33896195564,-159485.6999183406,-361579.73300817417,-422495.8836725227,-236780.79885414994,129023.92573351158
5.419446325302124,0.6124807700580952,0.030693435668945314,0.0042068483796420565,0.8,0.01,3,200,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-169259.21705582022,-842723.8670844529,-403431.0100396382,-1356330.8348670506,-817893.1228195102,-717927.6103732944,408184.028070375,32,-121521.19858607791,-121887.00625252572,-160504.81560444838,-362185.1608479743,-423153.1583820699,-237850.26793461927,128653.46962718226
2.987591028213501,0.3753170042839153,0.034801483154296875,0.00780835222883591,0.8,0.01,3,300,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-53576.665843682575,-656375.7012273356,-232523.35801897536,-983476.1191069634,-558334.1085414096,-496857.1905476733,326310.7558536226,17,-35684.03231645353,-39240.46359336814,-57097.93185165337,-196629.2186364864,-234074.7786849862,-112545.28501658952,85082.5290030965
3.100775384902954,0.6369490697498131,0.03518600463867187,0.0041242015620626855,0.8,0.01,3,300,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-56927.96671652213,-657408.2212275746,-236645.5267038025,-984308.108248932,-558586.1885798275,-498775.20229533175,325092.275501583,19,-36645.2095215243,-39835.51711598908,-57807.12266811016,-196904.87837175344,-234490.68936774548,-113136.6834090245,84887.30423181895
3.0915844440460205,0.669854582203901,0.035647106170654294,0.00434116139338416,0.8,0.01,3,300,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-53581.89162195683,-656375.7245938003,-232523.99527664908,-983476.2908218817,-558334.1031665405,-496858.40109616565,326309.2861055593,18,-35669.63966314684,-39240.62735389103,-57098.342907001024,-196629.5204199551,-234075.14757005175,-112542.65558280915,85085.2127856776
3.156723880767822,0.7635857049800595,0.035903644561767575,0.004209526133411417,0.8,0.01,3,300,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-56935.98713086565,-657408.6950601031,-236646.36413477853,-984308.0022108011,-558585.6355517468,-498776.93681765907,325089.95450008486,20,-36646.08347991618,-39835.943097411866,-57807.55032060832,-196905.18576237332,-234490.82702653419,-113137.11793736876,84887.11743813562
2.799251365661621,0.4606745842093066,0.03268141746520996,0.0010343888726774412,0.8,0.01,5,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-123100.87047809055,-846820.5376706397,-333587.1064399657,-1423425.224469227,-824825.0332750028,-710351.7544665851,453214.4822751904,28,-105717.47472349789,-102490.01504870302,-125079.21917664155,-362437.3689122191,-419305.29126108496,-223005.87382442932,138452.06649162303
2.9212000370025635,0.49111956636616694,0.03588681221008301,0.005342734791268126,0.8,0.01,5,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-122627.37216863837,-843681.1280823469,-337994.8788888255,-1419215.2792509024,-826152.1760365455,-709934.1668854516,451163.53503242985,26,-109099.84482166052,-104557.74334164204,-127575.31343530437,-364032.7610474627,-420649.50451747194,-225183.0334327083,137869.0846185437
