Feature,F-score
GB_GBN_wind_onshore_profile,460890.84680781414
lag_24,14936.335302121493
lag_48,5767.791969477091
GB_GBN_wind_onshore_capacity,2884.3175062547166
Basel Soil Temperature [7-28 cm down],2672.826650456646
