utc_timestamp,predicted_energy_generation,Battery_Level,Battery_Action,Smoothed_Battery_Level
2015-01-06 12:00:00+00:00,5677.45,197.3141721545919,Store,8.221423839774662
2015-01-06 13:00:00+00:00,5984.5967,670.8662426995085,Store,36.17418395225418
2015-01-06 14:00:00+00:00,5893.0366,1061.8200992922043,Store,80.41668808942937
2015-01-06 15:00:00+00:00,6053.542,1561.8200992922043,Store,145.4925255599379
2015-01-06 16:00:00+00:00,5005.6973,1061.8200992922043,Discharge,189.73502969711308
2015-01-06 17:00:00+00:00,4294.461,561.8200992922043,Discharge,213.1442005009549
2015-01-06 18:00:00+00:00,4153.7666,61.820099292204304,Discharge,215.7200379714634
2015-01-06 19:00:00+00:00,3823.9495,0.0,Discharge,215.7200379714634
2015-01-06 20:00:00+00:00,3527.1929,0.0,Discharge,215.7200379714634
2015-01-06 21:00:00+00:00,4034.3691,0.0,Discharge,215.7200379714634
2015-01-06 22:00:00+00:00,3756.677,0.0,Discharge,215.7200379714634
2015-01-06 23:00:00+00:00,3974.438,0.0,Discharge,215.7200379714634
2015-01-07 00:00:00+00:00,4150.252,0.0,Discharge,215.7200379714634
2015-01-07 01:00:00+00:00,4074.712,0.0,Discharge,215.7200379714634
2015-01-07 02:00:00+00:00,4033.5405,0.0,Discharge,215.7200379714634
2015-01-07 03:00:00+00:00,4151.9316,0.0,Discharge,215.7200379714634
2015-01-07 04:00:00+00:00,4228.2373,0.0,Discharge,215.7200379714634
2015-01-07 05:00:00+00:00,4455.846,0.0,Discharge,215.7200379714634
2015-01-07 06:00:00+00:00,4733.9443,0.0,Discharge,215.7200379714634
2015-01-07 07:00:00+00:00,5345.4556,0.0,Discharge,215.7200379714634
2015-01-07 08:00:00+00:00,5849.7314,348.48636960184433,Store,230.24030337154025
2015-01-07 09:00:00+00:00,6465.8745,848.4863696018443,Store,265.5939021049505
2015-01-07 10:00:00+00:00,6439.5757,1348.4863696018442,Store,321.7808341716939
2015-01-07 11:00:00+00:00,6348.9272,1848.4863696018442,Store,398.80109957177075
2015-01-07 12:00:00+00:00,6580.211,2348.486369601844,Store,488.4332744654063
2015-01-07 13:00:00+00:00,6514.536,2848.486369601844,Store,579.1674464196703
2015-01-07 14:00:00+00:00,6889.5327,3348.486369601844,Store,674.445207682572
2015-01-07 15:00:00+00:00,6885.7227,3848.486369601844,Store,769.7229689454736
2015-01-07 16:00:00+00:00,7382.69,4348.486369601844,Store,906.667396875042
2015-01-07 17:00:00+00:00,7340.8516,4848.486369601844,Store,1085.2784914712768
2015-01-07 18:00:00+00:00,7309.505,5348.486369601844,Store,1305.5562527341785
2015-01-07 19:00:00+00:00,7310.8765,5848.486369601844,Store,1549.2431848009219
2015-01-07 20:00:00+00:00,7170.3306,6348.486369601844,Store,1813.7634502009987
2015-01-07 21:00:00+00:00,6805.5957,6848.486369601844,Store,2099.117048934409
2015-01-07 22:00:00+00:00,6780.591,7348.486369601844,Store,2405.3039810011524
