mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__colsample_bytree,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.593276071548462,0.9549773822776914,0.04033198356628418,0.004575592065192531,0.8,0.01,3,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-1822076.8001999569,-1158932.9184104162,-755582.16023642,-2005039.159310104,-2155765.9777086084,-1579479.4031731014,534364.4508839217,29,-741060.6262910634,-820075.381388326,-894749.9900005676,-857091.3023728085,-919889.6537082881,-846573.3907522109,62676.90732370616
5.859732532501221,1.64863924583841,0.03995504379272461,0.006139406652129676,0.8,0.01,3,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-1828528.1443899537,-1177484.669397106,-755540.9163008694,-1997200.4244629752,-2155234.4951852374,-1582797.7299472285,530740.8770345646,31,-745005.7447892189,-827694.0485642919,-896192.1182486936,-857594.3146426522,-920061.5938706966,-849309.5640231107,61022.910331158775
5.258885383605957,0.7676679938726869,0.035609865188598634,0.00627522702726176,0.8,0.01,3,200,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-1822079.0251007914,-1158934.9546380197,-755582.7529086093,-2005045.9305752958,-2155767.468655779,-1579482.026375699,534365.5497314003,30,-741063.2624359117,-820076.8688254459,-894750.7581756983,-857093.2734800763,-919890.3477671711,-846574.9021368608,62676.24061877885
5.511564493179321,0.9015946820806694,0.040224552154541016,0.0031901336344162846,0.8,0.01,3,200,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-1828531.2193086185,-1177487.1285377985,-755541.362839464,-1997201.6464436252,-2155235.4247500882,-1582799.356375919,530741.038314256,32,-745008.2323515848,-827695.2747724792,-896192.9163570225,-857595.1078821098,-920062.0970482344,-849310.7256822862,61022.23393828299
8.045570564270019,4.861503478647896,0.039832687377929686,0.0023616615509494455,0.8,0.01,3,300,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-1415153.594124309,-789349.426699893,-502841.72805568186,-1381711.9947864476,-1544361.638489592,-1126683.6764311846,406369.87810638046,21,-451727.5317416986,-528366.4071110344,-573259.1722942772,-533111.0454499996,-582590.5808608602,-533810.947491574,46267.55903593057
5.623596668243408,1.1867365299558348,0.04365110397338867,0.005218072535659252,0.8,0.01,3,300,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-1415297.9101502884,-797125.2376531188,-500653.1627974529,-1391073.6919412874,-1541137.0710840686,-1129057.4147252433,406316.7896971287,23,-454685.8923089512,-531850.9563217689,-573171.4201282728,-532487.0119530335,-581769.5827727682,-534792.9726969589,44968.48755528231
5.640858221054077,1.2443206363099484,0.04573736190795898,0.0059386025053409,0.8,0.01,3,300,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-1415153.8040562852,-789351.1008339527,-502842.36827116704,-1381719.1156637252,-1544362.6072103325,-1126685.7992070925,406370.526322154,22,-451729.75844639534,-528367.6088423928,-573259.7892089414,-533112.3346126253,-582591.0397219842,-533812.1061664678,46266.938724776795
5.550031232833862,0.7218682544148205,0.0419586181640625,0.0036818509082476216,0.8,0.01,3,300,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-1415299.5189594638,-797126.8444975666,-500653.7177553899,-1391075.4869685513,-1541137.6032539012,-1129058.6342869746,406316.92162792373,24,-454687.9670284685,-531851.9583283545,-573172.1324798771,-532487.6391633978,-581769.8965422102,-534793.9187084616,44967.915976831304
5.356829023361206,1.0261869800233596,0.040271568298339847,0.0031744591780212893,0.8,0.01,5,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-1685816.4409995857,-1038778.8929678589,-695323.4955614667,-1631183.6051451839,-1666595.333036148,-1343539.5535420487,404306.9929725007,25,-454001.88504410186,-552879.6455352304,-591877.7759540492,-565567.1330464606,-610891.0320459104,-555043.4943251504,54406.88888774125
5.85511965751648,1.0170413142698755,0.0569610595703125,0.0013294916138146928,0.8,0.01,5,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-1711996.7767456127,-1055221.4334854952,-706697.3181723537,-1635249.3614183143,-1680415.022778126,-1357915.98251998,405463.28604892053,28,-462532.52970376104,-558636.9921016291,-596425.7109417731,-568218.2237616769,-613985.195168192,-559959.7303354065,52555.74253116056
