actual,xgboost_predicted,naive_predicted
4566.0,4049.353,3369.0
4562.0,4027.6787,3139.0
4827.0,4278.036,3113.0
4742.0,4195.7803,3021.0
4698.0,4083.7693,2832.0
4623.0,4062.413,2647.0
4815.0,4249.669,2557.0
4860.0,4257.1445,2506.0
4699.0,4083.7693,2542.0
4628.0,4059.3489,2552.0
4432.0,3930.3005,2728.0
4271.0,3635.498,2973.0
4383.0,3453.021,3241.0
4796.0,4282.044,2802.0
5159.0,5003.834,3726.0
5016.0,4895.081,4103.0
4658.0,4236.9814,3894.0
4326.0,3721.1204,3496.0
2736.0,2497.917,3557.0
4379.0,3768.8523,3761.0
4719.0,4113.869,3709.0
5089.0,4462.053,4034.0
5685.0,5041.399,4178.0
6160.0,5452.3525,4304.0
7025.0,6252.525,4566.0
7998.0,7046.165,4562.0
8610.0,7549.518,4827.0
8646.0,7589.74,4742.0
8662.0,7602.3804,4698.0
9241.0,8109.349,4623.0
9720.0,8531.14,4815.0
10128.0,8880.036,4860.0
10257.0,8891.539,4699.0
10613.0,8968.574,4628.0
11108.0,9244.128,4432.0
11373.0,9333.9795,4271.0
11311.0,9266.323,4383.0
11615.0,9208.751,4796.0
11919.0,9398.099,5159.0
11953.0,9270.734,5016.0
12009.0,9366.769,4658.0
11871.0,9252.428,4326.0
11686.0,9529.77,2736.0
11554.0,9697.259,4379.0
11844.0,9768.743,4719.0
11877.0,9781.78,5089.0
11597.0,9706.372,5685.0
7131.0,6300.267,6160.0
11361.0,9632.028,7025.0
10941.0,9409.509,7998.0
10857.0,9409.707,8610.0
10603.0,8985.477,8646.0
10391.0,8898.685,8662.0
10389.0,8901.772,9241.0
10474.0,8914.964,9720.0
10475.0,8914.964,10128.0
10349.0,8901.514,10257.0
10472.0,8913.552,10613.0
10606.0,8970.363,11108.0
10829.0,9187.87,11373.0
11312.0,9269.131,11311.0
12349.0,9623.558,11615.0
13173.0,10239.27,11919.0
13448.0,10480.808,11953.0
13338.0,10309.579,12009.0
12719.0,9802.082,11871.0
12163.0,9667.632,11686.0
12224.0,9825.999,11554.0
12238.0,9901.641,11844.0
12154.0,9887.834,11877.0
11940.0,9729.208,11597.0
11587.0,9614.019,7131.0
11112.0,9396.709,11361.0
10350.0,8943.763,10941.0
9758.0,8629.111,10857.0
9259.0,8092.0283,10603.0
5613.0,4857.1357,10391.0
8653.0,7611.1787,10389.0
8420.0,7499.477,10474.0
7785.0,7021.8467,10475.0
7287.0,6487.7573,10349.0
6465.0,5728.9927,10472.0
5752.0,5066.2686,10606.0
5370.0,4688.4517,10829.0
5961.0,5886.2915,11312.0
6150.0,5486.0776,12349.0
5893.0,5435.526,13173.0
5853.0,5372.3745,13448.0
5707.0,4930.89,13338.0
5114.0,4005.6863,12719.0
4364.0,3311.6443,12163.0
4251.0,3547.163,12224.0
4487.0,3935.4858,12238.0
4863.0,4261.916,12154.0
5493.0,4851.683,11940.0
6417.0,5667.252,11587.0
7442.0,6597.6216,11112.0
8500.0,7510.4175,10350.0
9301.0,8029.3003,9758.0
9788.0,8392.502,9259.0
9888.0,8507.921,5613.0
9743.0,8567.116,8653.0
9601.0,8406.384,8420.0
9371.0,8132.073,7785.0
9396.0,8209.68,7287.0
5854.0,5170.761,6465.0
9999.0,8694.886,5752.0
10080.0,8655.269,5370.0
10277.0,8798.352,5961.0
10353.0,9095.483,6150.0
10787.0,8763.371,5893.0
10852.0,8729.85,5853.0
10710.0,8613.967,5707.0
10566.0,8742.205,5114.0
10150.0,8838.053,4364.0
9885.0,8623.659,4251.0
10154.0,8979.49,4487.0
10252.0,9007.032,4863.0
10313.0,9004.331,5493.0
10463.0,9030.47,6417.0
10168.0,8992.467,7442.0
9431.0,8287.1,8500.0
10087.0,8893.751,9301.0
9820.0,8620.079,9788.0
9824.0,8617.77,9888.0
9767.0,8617.77,9743.0
9728.0,8565.261,9601.0
9704.0,8565.261,9371.0
