actual,xgboost_predicted,naive_predicted
1511.0,1484.2289,756.0
1444.0,1450.7535,782.0
1542.0,1511.8663,847.0
1411.0,1419.0457,762.0
1517.0,1493.4808,361.0
1426.0,1431.501,538.0
1231.0,1290.2059,578.0
1086.0,1186.7921,554.0
1014.0,1124.8892,649.0
572.0,814.95624,885.0
1201.0,1272.2028,1125.0
1447.0,1450.7535,1093.0
1462.0,1463.6978,1380.0
1684.0,1615.1262,1350.0
1844.0,1713.7687,1486.0
1985.0,1830.936,1628.0
2180.0,1993.4958,1635.0
2617.0,2291.2913,1642.0
2678.0,2343.177,1623.0
2926.0,2519.2468,1566.0
3170.0,2748.0942,1391.0
3341.0,2884.255,1514.0
3803.0,3225.0698,1458.0
3796.0,3225.0698,1483.0
3943.0,3322.2886,1511.0
4158.0,3449.2336,1444.0
4149.0,3449.2336,1542.0
4074.0,3419.958,1411.0
4057.0,3419.958,1517.0
4149.0,3449.2336,1426.0
4048.0,3419.958,1231.0
4048.0,3399.6077,1086.0
4119.0,3433.8547,1014.0
4105.0,3424.2366,572.0
4097.0,3424.2366,1201.0
4145.0,3449.2336,1447.0
4177.0,3449.2336,1462.0
4219.0,3529.7776,1684.0
2218.0,2008.7717,1844.0
4245.0,3529.7776,1985.0
4255.0,3529.7776,2180.0
4216.0,3529.7776,2617.0
4233.0,3529.7776,2678.0
4249.0,3529.7776,2926.0
4217.0,3529.7776,3170.0
4279.0,3529.7776,3341.0
4233.0,3529.7776,3803.0
4326.0,3586.015,3796.0
4390.0,3618.3633,3943.0
4375.0,3618.3633,4158.0
4390.0,3618.3633,4149.0
4385.0,3618.3633,4074.0
4404.0,3627.5066,4057.0
4375.0,3618.3633,4149.0
4298.0,3586.015,4048.0
4298.0,3586.015,4048.0
4301.0,3586.015,4119.0
4270.0,3529.7776,4105.0
4347.0,3618.3633,4097.0
4198.0,3529.7776,4145.0
4283.0,3529.7776,4177.0
4299.0,3586.015,4219.0
4290.0,3529.7776,2218.0
4282.0,3529.7776,4245.0
4179.0,3449.2336,4255.0
4179.0,3449.2336,4216.0
4106.0,3424.2366,4233.0
2166.0,1965.354,4249.0
4026.0,3399.6077,4217.0
3963.0,3322.2886,4279.0
3848.0,3283.466,4233.0
3790.0,3225.0698,4326.0
3295.0,2803.0242,4390.0
2830.0,2451.7947,4375.0
2435.0,2158.0908,4390.0
2496.0,2205.611,4385.0
2082.0,1906.1226,4404.0
1824.0,1709.5464,4375.0
1597.0,1553.5056,4298.0
1510.0,1484.2289,4298.0
1272.0,1311.9408,4301.0
1180.0,1251.9006,4270.0
1080.0,1186.7921,4347.0
1133.0,1212.3308,4198.0
1238.0,1290.2059,4283.0
1514.0,1493.4808,4299.0
1985.0,1830.936,4290.0
2283.0,2023.4891,4282.0
2795.0,2408.4153,4179.0
3213.0,2748.0942,4179.0
3409.0,2935.885,4106.0
3506.0,3014.3987,2166.0
3566.0,3057.6064,4026.0
3468.0,2998.663,3963.0
3452.0,2983.0188,3848.0
3484.0,2998.663,3790.0
1856.0,1737.0652,3295.0
3692.0,3147.7532,2830.0
3869.0,3283.466,2435.0
3933.0,3322.2886,2496.0
3717.0,3184.114,2082.0
3769.0,3217.6826,1824.0
3628.0,3115.9268,1597.0
3495.0,2998.663,1510.0
3518.0,3014.3987,1272.0
3543.0,3036.7188,1180.0
3385.0,2910.7131,1080.0
3546.0,3036.7188,1133.0
3679.0,3147.7532,1238.0
3777.0,3225.0698,1514.0
3842.0,3259.6638,1985.0
3964.0,3322.2886,2283.0
4013.0,3390.2466,2795.0
3992.0,3390.2466,3213.0
3871.0,3283.466,3409.0
3929.0,3322.2886,3506.0
3926.0,3322.2886,3566.0
3903.0,3286.615,3468.0
4015.0,3399.6077,3452.0
4079.0,3419.958,3484.0
4052.0,3419.958,1856.0
3721.0,3184.114,3692.0
1911.0,1776.4114,3869.0
3701.0,3147.7532,3933.0
3580.0,3079.8179,3717.0
3727.0,3184.114,3769.0
3758.0,3217.6826,3628.0
