actual,xgboost_predicted,naive_predicted
3185.0,3134.7424,1727.0
3119.0,3076.18,1758.0
3132.0,3084.1882,1716.0
3231.0,3159.7124,1577.0
3300.0,3205.131,1531.0
3402.0,3286.8967,1578.0
3217.0,3136.4167,1690.0
3117.0,3076.18,1797.0
2987.0,2967.4382,1947.0
2692.0,2765.6777,2093.0
2664.0,2742.3352,2192.0
2374.0,2516.932,1583.0
2408.0,2559.9182,2140.0
2384.0,2537.6829,2415.0
2536.0,2622.5164,2508.0
2779.0,2827.9224,2439.0
2020.0,2258.4583,2577.0
3176.0,3134.7424,2633.0
3272.0,3199.487,2616.0
3627.0,3412.8596,2654.0
4001.0,3747.0361,2828.0
4316.0,3932.1714,2817.0
5040.0,4438.786,2938.0
5818.0,4988.3457,2926.0
5994.0,5145.423,3185.0
5967.0,5124.753,3119.0
5736.0,4956.6562,3132.0
6071.0,5156.949,3231.0
6379.0,5395.611,3300.0
6325.0,5395.611,3402.0
6461.0,5403.8516,3217.0
6670.0,5573.4795,3117.0
6950.0,5788.1357,2987.0
7184.0,5884.7197,2692.0
7107.0,5866.0957,2664.0
7240.0,5884.7197,2374.0
7247.0,5884.7197,2408.0
7272.0,5918.03,2384.0
7412.0,5977.581,2536.0
7351.0,5918.03,2779.0
7457.0,5977.581,2020.0
7455.0,5977.581,3176.0
7699.0,6076.566,3272.0
7699.0,6076.566,3627.0
7377.0,5918.03,4001.0
4914.0,4390.3374,4316.0
7117.0,5866.0957,5040.0
6686.0,5693.361,5818.0
6641.0,5573.4795,5994.0
6370.0,5395.611,5967.0
6141.0,5256.584,5736.0
6172.0,5256.584,6071.0
6195.0,5313.999,6379.0
6241.0,5313.999,6325.0
6024.0,5145.423,6461.0
6082.0,5178.604,6670.0
6232.0,5313.999,6950.0
6427.0,5403.8516,7184.0
6708.0,5693.361,7107.0
7278.0,5918.03,7240.0
7593.0,6076.566,7247.0
7736.0,6076.566,7272.0
7880.0,6405.8647,7412.0
7808.0,6076.566,7351.0
7745.0,6076.566,7457.0
7875.0,6405.8647,7455.0
8040.0,6405.8647,7699.0
7872.0,6405.8647,7699.0
7641.0,6076.566,7377.0
7297.0,5918.03,4914.0
6829.0,5706.0684,7117.0
6171.0,5256.584,6686.0
5579.0,4843.3296,6641.0
5152.0,4571.8213,6370.0
3447.0,3290.8552,6141.0
4627.0,4162.494,6172.0
4457.0,4026.1694,6195.0
3937.0,3662.0442,6241.0
3497.0,3343.5095,6024.0
3171.0,3112.4143,6082.0
2921.0,2927.4644,6232.0
2817.0,2877.1208,6427.0
2611.0,2702.7761,6708.0
2568.0,2660.281,7278.0
2469.0,2591.5085,7593.0
2691.0,2765.6777,7736.0
2946.0,2942.2546,7880.0
3196.0,3134.7424,7808.0
3018.0,2983.7402,7745.0
3169.0,3112.4143,7875.0
3354.0,3266.0972,8040.0
3625.0,3412.8596,7872.0
3979.0,3713.311,7641.0
4432.0,4015.4167,7297.0
5159.0,4571.8213,6829.0
5705.0,4853.334,6171.0
6088.0,5178.604,5579.0
6378.0,5395.611,5152.0
6382.0,5395.611,3447.0
6177.0,5256.584,4627.0
6132.0,5178.604,4457.0
5919.0,5124.753,3937.0
5912.0,5071.201,3497.0
3998.0,3747.0361,3171.0
6307.0,5357.07,2921.0
6162.0,5256.584,2817.0
5884.0,5071.201,2611.0
5612.0,4843.3296,2568.0
5678.0,4853.334,2469.0
5929.0,5124.753,2691.0
6293.0,5357.07,2946.0
6462.0,5403.8516,3196.0
6428.0,5403.8516,3018.0
6497.0,5484.9585,3169.0
6608.0,5530.953,3354.0
6573.0,5530.953,3625.0
6536.0,5530.953,3979.0
6622.0,5573.4795,4432.0
6205.0,5313.999,5159.0
5417.0,4724.72,5705.0
6095.0,5178.604,6088.0
5949.0,5124.753,6378.0
5895.0,5071.201,6382.0
5841.0,5051.658,6177.0
5824.0,4988.3457,6132.0
5689.0,4853.334,5919.0
5753.0,4956.6562,5912.0
5433.0,4724.72,3998.0
5536.0,4763.085,6307.0
3629.0,3412.8596,6162.0
5213.0,4575.1753,5884.0
5140.0,4544.8516,5612.0
5262.0,4616.4536,5678.0
5445.0,4724.72,5929.0
5255.0,4616.4536,6293.0
5188.0,4575.1753,6462.0
4863.0,4321.398,6428.0
4684.0,4212.6753,6497.0
4631.0,4162.494,6608.0
4518.0,4057.7424,6573.0
4743.0,4236.107,6536.0
4674.0,4212.6753,6622.0
4859.0,4321.398,6205.0
5012.0,4438.786,5417.0
5475.0,4775.237,6095.0
5831.0,4988.3457,5949.0
5715.0,4853.334,5895.0
5566.0,4825.955,5841.0
5891.0,5071.201,5824.0
5992.0,5145.423,5689.0
6184.0,5256.584,5753.0
6335.0,5395.611,5433.0
6127.0,5178.604,5536.0
5525.0,4763.085,3629.0
4908.0,4390.3374,5213.0
4391.0,3960.8088,5140.0
3913.0,3662.0442,5262.0
3662.0,3457.6938,5445.0
3076.0,3035.9255,5255.0
2586.0,2682.8284,5188.0
2103.0,2320.3213,4863.0
1676.0,2017.2502,4684.0
1417.0,1857.5585,4631.0
1268.0,1746.3431,4518.0
1181.0,1663.1432,4743.0
1132.0,1661.3501,4674.0
1043.0,1614.3153,4859.0
1097.0,1625.539,5012.0
1247.0,1740.947,5475.0
1430.0,1862.6156,5831.0
1636.0,1996.1885,5715.0
2023.0,2258.4583,5566.0
2301.0,2452.3262,5891.0
2526.0,2622.5164,5992.0
2841.0,2896.2974,6184.0
3090.0,3035.9255,6335.0
3282.0,3205.131,6127.0
3464.0,3331.3853,5525.0
3588.0,3399.4768,4908.0
3599.0,3400.9888,4391.0
3932.0,3662.0442,3913.0
4249.0,3883.7332,3662.0
4261.0,3906.542,3076.0
4215.0,3851.9414,2586.0
4454.0,4026.1694,2103.0
4417.0,4012.8887,1676.0
4424.0,4015.4167,1417.0
4317.0,3932.1714,1268.0
4128.0,3805.0977,1181.0
3819.0,3586.0916,1132.0
3655.0,3457.6938,1043.0
3422.0,3291.71,1097.0
3217.0,3136.4167,1247.0
3073.0,3030.0583,1430.0
2872.0,2903.902,1636.0
2724.0,2797.3289,2023.0
2580.0,2682.8284,2301.0
2264.0,2436.381,2526.0
2131.0,2346.1274,2841.0
1920.0,2189.8074,3090.0
1829.0,2115.1519,3282.0
1786.0,2097.3064,3464.0
1634.0,1996.1885,3588.0
1576.0,1946.4017,3599.0
1517.0,1895.0432,3932.0
1429.0,1862.6156,4249.0
1333.0,1774.1545,4261.0
1140.0,1661.3501,4215.0
1018.0,1574.675,4454.0
943.0,1518.8932,4417.0
884.0,1487.6155,4424.0
881.0,1485.0717,4317.0
848.0,1478.3834,4128.0
777.0,1408.384,3819.0
699.0,1359.0056,3655.0
610.0,1320.2301,3422.0
562.0,1310.6638,3217.0
523.0,1287.4159,3073.0
517.0,1287.4159,2872.0
446.0,1274.6372,2724.0
456.0,1274.6372,2580.0
461.0,1274.6372,2264.0
506.0,1287.4159,2131.0
614.0,1320.2301,1920.0
693.0,1345.0518,1829.0
806.0,1444.0286,1786.0
1082.0,1616.1775,1634.0
1276.0,1746.3431,1576.0
1693.0,2020.7157,1517.0
1903.0,2184.9553,1429.0
2270.0,2436.381,1333.0
2158.0,2356.4314,1140.0
2357.0,2516.932,1018.0
2302.0,2452.3262,943.0
2167.0,2358.821,884.0
2058.0,2304.1892,881.0
2123.0,2346.1274,848.0
1942.0,2210.4587,777.0
1831.0,2133.3792,699.0
1573.0,1946.4017,610.0
1321.0,1774.1545,562.0
1202.0,1704.8989,523.0
1132.0,1661.3501,517.0
1123.0,1631.2064,446.0
1135.0,1661.3501,456.0
1223.0,1718.0201,461.0
1356.0,1805.125,506.0
1598.0,1965.1895,614.0
1998.0,2256.5632,693.0
2407.0,2559.9182,806.0
2726.0,2797.3289,1082.0
3115.0,3076.18,1276.0
3791.0,3553.845,1693.0
4336.0,3932.1714,1903.0
4729.0,4236.107,2270.0
5137.0,4544.8516,2158.0
5252.0,4574.3647,2357.0
5689.0,4853.334,2302.0
6248.0,5313.999,2167.0
6630.0,5573.4795,2058.0
6766.0,5693.361,2123.0
5902.0,5071.201,1942.0
4863.0,4321.398,1831.0
4112.0,3805.0977,1573.0
3576.0,3399.4768,1321.0
3588.0,3399.4768,1202.0
3760.0,3552.8132,1132.0
3743.0,3536.111,1123.0
3716.0,3531.5347,1135.0
3666.0,3471.856,1223.0
3536.0,3374.0874,1356.0
3526.0,3372.583,1598.0
3230.0,3159.7124,1998.0
3052.0,3030.0583,2407.0
2733.0,2797.3289,2726.0
2442.0,2563.2869,3115.0
2140.0,2346.1274,3791.0
2091.0,2310.7668,4336.0
2421.0,2563.2869,4729.0
2068.0,2304.1892,5137.0
1883.0,2169.3428,5252.0
1819.0,2115.1519,5689.0
1673.0,2017.2502,6248.0
1435.0,1862.6156,6630.0
1401.0,1857.516,6766.0
1421.0,1857.5585,5902.0
1354.0,1805.125,4863.0
1372.0,1821.1399,4112.0
1571.0,1946.4017,3576.0
1615.0,1976.8713,3588.0
1574.0,1946.4017,3760.0
1706.0,2026.8408,3743.0
1750.0,2053.6636,3716.0
1718.0,2026.8408,3666.0
1528.0,1895.0432,3536.0
1438.0,1862.6156,3526.0
1344.0,1793.7584,3230.0
1328.0,1774.1545,3052.0
1276.0,1746.3431,2733.0
1098.0,1625.539,2442.0
1010.0,1574.675,2140.0
950.0,1518.8932,2091.0
820.0,1459.3053,2421.0
891.0,1487.6155,2068.0
862.0,1478.3834,1883.0
927.0,1494.6617,1819.0
963.0,1539.824,1673.0
983.0,1569.2958,1435.0
1054.0,1614.3153,1401.0
1067.0,1615.1342,1421.0
1031.0,1593.3939,1354.0
992.0,1568.9723,1372.0
1081.0,1616.1775,1571.0
1015.0,1574.675,1615.0
1103.0,1628.2164,1574.0
1156.0,1661.3501,1706.0
1153.0,1661.3501,1750.0
1067.0,1615.1342,1718.0
915.0,1494.6617,1528.0
820.0,1459.3053,1438.0
691.0,1345.0518,1344.0
590.0,1309.4387,1328.0
518.0,1287.4159,1276.0
494.0,1280.06,1098.0
527.0,1287.4159,1010.0
587.0,1309.4387,950.0
551.0,1302.7582,820.0
547.0,1302.7582,891.0
548.0,1302.7582,862.0
578.0,1310.6638,927.0
664.0,1341.993,963.0
