mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__colsample_bytree,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.087370681762695,0.48555357862974347,0.026891088485717772,0.0031655374685280956,0.8,0.01,3,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-83171.22655857481,-80526.27842026953,-296721.13274007913,-600677.5754865218,-510310.19784842996,-314281.28221077507,213921.3832407868,30,-30135.01436735881,-38244.54343445442,-260768.45134477905,-237206.5864948052,-134336.32000685143,-140138.18312964978,96426.76921404096
2.976023483276367,0.511466830060735,0.026715517044067383,0.0045926843445931636,0.8,0.01,3,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-85376.91557089356,-80925.70687311812,-297088.0327115064,-599974.6427127931,-511224.2967519782,-314917.91892405786,213332.07077994972,32,-30618.99042490185,-38573.60569605226,-261351.07119862025,-237536.16945146583,-134587.998819244,-140533.56711805685,96455.97113389964
3.2029748439788817,0.48399050184546344,0.030397605895996094,0.003585938591693518,0.8,0.01,3,200,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-83173.31142573041,-80509.96522444343,-296721.55697146576,-600676.6850810348,-509864.7627310011,-314189.25628673506,213842.6753714775,29,-30135.866012836246,-38238.24792060296,-260769.01907509306,-237206.973455234,-134316.15701663648,-140133.25269608054,96428.36830451852
2.9988802433013917,0.7286380232820879,0.02724003791809082,0.004602341155997553,0.8,0.01,3,200,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-85314.84068341473,-80926.25739467512,-297107.18075286876,-599973.6104972695,-511225.9678797465,-314909.571441595,213345.02133011282,31,-30613.65654344478,-38574.021992230075,-261346.52894252806,-237536.49890772862,-134588.27871173905,-140531.79701953413,96456.02370215881
3.1478097438812256,0.6627997155591948,0.03179216384887695,0.0021733269799639756,0.8,0.01,3,300,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-26659.194748430542,-37952.37656811968,-160187.21496269322,-440925.1573499809,-277076.624251983,-188560.11357624148,155706.71618196936,21,-5352.860442372109,-7000.092057908414,-104124.73129470028,-111563.25048641748,-47785.68560107924,-55165.323976495514,45680.148491943444
3.1018486976623536,0.6989695696120598,0.03083481788635254,0.003100850051533258,0.8,0.01,3,300,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-27700.220209357303,-38094.40732773342,-160381.23119607198,-440105.0908882484,-281147.3234954451,-189485.65462337123,155661.7277197155,24,-5501.505609858712,-7095.546704973602,-104513.3711508883,-111783.3820116382,-47958.12405149069,-55370.3859057699,45759.733557068925
3.2346500396728515,0.675461392984785,0.03335514068603516,0.005505753441047824,0.8,0.01,3,300,1,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-26670.929781747658,-37947.08949974236,-160187.55934532903,-440923.7476092936,-280891.8976915703,-189324.2447855366,156145.46765274004,22,-5353.06189871973,-6998.639086725469,-104125.14762592268,-111563.574624677,-47880.86398873354,-55184.257444955685,45677.520859752665
3.1735435009002684,0.4837086159918233,0.03893170356750488,0.012235938323375314,0.8,0.01,3,300,1,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 1, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-27625.706445911146,-38094.960253411395,-160381.77530004122,-440103.3533025788,-281148.699892569,-189470.8990389023,155676.69358522765,23,-5500.0109079908425,-7095.733144113862,-104505.95915769754,-111783.59939862722,-47958.31022750595,-55368.722567187084,45758.47565007089
3.0694030284881593,0.6546456580415203,0.03377060890197754,0.0049144523484528566,0.8,0.01,5,200,0,1,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 1, 'xgb__subsample': 0.8}",-73743.43023738082,-77732.70956136097,-297820.6770079272,-683869.1019742774,-358184.9280251589,-298270.169361221,224198.81575870194,26,-27746.280770093756,-34946.75851597981,-250488.41590764903,-224800.1043744971,-111984.7813752334,-129993.26818869062,93080.61865483042
3.127311897277832,0.44772410788157596,0.034467029571533206,0.00557230417885173,0.8,0.01,5,200,0,2,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 2, 'xgb__subsample': 0.8}",-78175.44076254229,-78448.18219594914,-297959.2584164601,-683204.8209924925,-361480.9292216651,-299853.7263178218,223123.84013783897,27,-28635.502125199604,-35582.01767732141,-252057.26262916226,-225863.02706035142,-112790.75466077894,-130985.71283056273,93347.21432289005
