actual,xgboost_predicted,naive_predicted
4178.0,3891.1206,3488.0
4304.0,4029.202,3486.0
4566.0,4175.555,3369.0
4562.0,4175.555,3139.0
4827.0,4441.993,3113.0
4742.0,4358.323,3021.0
4698.0,4303.526,2832.0
4623.0,4246.92,2647.0
4815.0,4390.1963,2557.0
4860.0,4447.0513,2506.0
4699.0,4303.526,2542.0
4628.0,4246.92,2552.0
4432.0,4108.296,2728.0
4235.0,3891.1206,2940.0
4074.0,3817.6335,2955.0
3892.0,3634.7522,1944.0
3834.0,3594.5618,2678.0
3616.0,3398.1936,2993.0
3622.0,3428.21,3062.0
3793.0,3562.8623,3088.0
2592.0,2565.2534,3462.0
4377.0,4044.409,3759.0
4719.0,4358.323,3709.0
5089.0,4585.6855,4034.0
5685.0,5135.9385,4178.0
6160.0,5519.7783,4304.0
7025.0,6299.5215,4566.0
7998.0,7108.9585,4562.0
8610.0,7566.397,4827.0
8646.0,7566.397,4742.0
8662.0,7598.4814,4698.0
9241.0,8112.17,4623.0
9720.0,8436.6875,4815.0
10128.0,8851.6,4860.0
10257.0,8940.616,4699.0
10613.0,9192.365,4628.0
11108.0,9622.078,4432.0
11333.0,9866.63,4235.0
11181.0,9654.908,4074.0
11297.0,9717.821,3892.0
11395.0,9866.63,3834.0
11320.0,9866.63,3616.0
11460.0,9909.623,3622.0
11469.0,9909.623,3793.0
11562.0,9926.653,2592.0
11552.0,9926.653,4377.0
11844.0,10077.827,4719.0
11877.0,10125.919,5089.0
11597.0,9926.653,5685.0
7131.0,6478.4688,6160.0
11361.0,9866.63,7025.0
10941.0,9445.305,7998.0
10857.0,9430.609,8610.0
10603.0,9192.365,8646.0
10391.0,8973.692,8662.0
10389.0,8973.692,9241.0
10474.0,9115.151,9720.0
10475.0,9115.151,10128.0
10349.0,8973.692,10257.0
10472.0,9115.151,10613.0
10606.0,9192.365,11108.0
10817.0,9430.609,11333.0
11093.0,9622.078,11181.0
11682.0,9989.577,11297.0
11968.0,10125.919,11395.0
12033.0,10204.416,11320.0
12178.0,10255.062,11460.0
12109.0,10255.062,11469.0
12015.0,10204.416,11562.0
12222.0,10255.062,11552.0
12238.0,10255.062,11844.0
12154.0,10255.062,11877.0
11940.0,10125.919,11597.0
11587.0,9926.653,7131.0
11112.0,9622.078,11361.0
10350.0,8973.692,10941.0
9758.0,8594.184,10857.0
9259.0,8112.17,10603.0
5613.0,5056.394,10391.0
8653.0,7598.4814,10389.0
8420.0,7320.0825,10474.0
7785.0,6961.9727,10475.0
7287.0,6519.9897,10349.0
6465.0,5798.346,10472.0
5752.0,5143.7266,10606.0
5252.0,4737.0576,10817.0
5107.0,4585.6855,11093.0
4650.0,4303.526,11682.0
4293.0,3974.4885,11968.0
4288.0,3974.4885,12033.0
4457.0,4125.0244,12178.0
4468.0,4125.0244,12109.0
4197.0,3891.1206,12015.0
4249.0,3974.4885,12222.0
4487.0,4125.0244,12238.0
4863.0,4447.0513,12154.0
5493.0,4955.817,11940.0
6417.0,5767.452,11587.0
7442.0,6651.054,11112.0
8500.0,7437.9844,10350.0
9301.0,8170.2656,9758.0
9788.0,8594.184,9259.0
9888.0,8635.735,5613.0
9743.0,8594.184,8653.0
9601.0,8399.84,8420.0
9371.0,8228.068,7785.0
9396.0,8228.068,7287.0
5854.0,5223.3975,6465.0
9999.0,8707.25,5752.0
10032.0,8707.25,5252.0
9817.0,8594.184,5107.0
9329.0,8170.2656,4650.0
9447.0,8237.361,4293.0
9557.0,8390.577,4288.0
9788.0,8594.184,4457.0
9980.0,8707.25,4468.0
9970.0,8658.126,4197.0
9882.0,8635.735,4249.0
10154.0,8851.6,4487.0
10252.0,8915.151,4863.0
10313.0,8940.616,5493.0
10463.0,9076.175,6417.0
10168.0,8851.6,7442.0
9431.0,8228.068,8500.0
10087.0,8776.661,9301.0
9820.0,8594.184,9788.0
9824.0,8594.184,9888.0
9767.0,8594.184,9743.0
9728.0,8436.6875,9601.0
9704.0,8436.6875,9371.0
9832.0,8635.735,9396.0
9485.0,8237.361,5854.0
9257.0,8112.17,9999.0
5540.0,4972.6606,10032.0
