actual,nn_predicted,naive_predicted
1511.0,1712.3605,756.0
1444.0,1642.8025,782.0
1542.0,1720.4585,847.0
1411.0,1602.9298,762.0
1517.0,1686.2025,361.0
1426.0,1596.2234,538.0
1231.0,1402.484,578.0
1086.0,1278.8398,554.0
1014.0,1189.3085,649.0
572.0,798.96216,885.0
1201.0,1367.7788,1125.0
1447.0,1605.022,1093.0
1462.0,1639.9156,1380.0
1684.0,1836.4462,1350.0
1844.0,1981.569,1486.0
1985.0,2109.3252,1628.0
2180.0,2241.4163,1635.0
2617.0,2654.6514,1642.0
2678.0,2760.907,1623.0
2926.0,2981.946,1566.0
3170.0,3185.616,1391.0
3341.0,3330.5618,1514.0
3803.0,3705.9282,1458.0
3796.0,3700.8394,1483.0
3943.0,3814.5974,1511.0
4158.0,3945.907,1444.0
4149.0,3912.1855,1542.0
4074.0,3856.1326,1411.0
4057.0,3850.444,1517.0
4149.0,3922.9773,1426.0
4048.0,3836.8523,1231.0
4048.0,3822.7654,1086.0
4119.0,3874.3586,1014.0
4105.0,3881.4338,572.0
4097.0,3890.871,1201.0
4145.0,3925.369,1447.0
4177.0,3945.3835,1462.0
4219.0,3973.1882,1684.0
2218.0,2214.5063,1844.0
4245.0,3971.801,1985.0
4255.0,4010.8188,2180.0
4216.0,4001.4517,2617.0
4233.0,4003.704,2678.0
4249.0,4009.6562,2926.0
4217.0,3989.152,3170.0
4279.0,4047.9568,3341.0
4233.0,4038.0234,3803.0
4326.0,4115.357,3796.0
4390.0,4158.7534,3943.0
4375.0,4135.9272,4158.0
4390.0,4131.8076,4149.0
4385.0,4118.962,4074.0
4404.0,4143.329,4057.0
4375.0,4111.799,4149.0
4298.0,4039.4507,4048.0
4298.0,4049.1912,4048.0
4301.0,4063.776,4119.0
4270.0,4057.861,4105.0
4347.0,4112.719,4097.0
4198.0,3984.0845,4145.0
4283.0,4036.4778,4177.0
4299.0,4028.7847,4219.0
4290.0,4024.4817,2218.0
4282.0,4072.9434,4245.0
4179.0,3987.949,4255.0
4179.0,3989.776,4216.0
4106.0,3920.7065,4233.0
2166.0,2217.8376,4249.0
4026.0,3856.3438,4217.0
3963.0,3793.4436,4279.0
3848.0,3696.3967,4233.0
3790.0,3658.0173,4326.0
3295.0,3258.5242,4390.0
2830.0,2844.2122,4375.0
2435.0,2479.1365,4390.0
2496.0,2533.2507,4385.0
2082.0,2159.2273,4404.0
1824.0,1904.5319,4375.0
1597.0,1693.0905,4298.0
1510.0,1606.8807,4298.0
1272.0,1390.4526,4301.0
1180.0,1309.3181,4270.0
1080.0,1222.313,4347.0
1133.0,1267.4688,4198.0
1238.0,1371.7793,4283.0
1514.0,1610.6571,4299.0
1985.0,2057.2312,4290.0
2283.0,2332.8452,4282.0
2795.0,2808.7146,4179.0
3213.0,3198.6423,4179.0
3409.0,3371.528,4106.0
3506.0,3434.445,2166.0
3566.0,3502.3438,4026.0
3468.0,3415.4463,3963.0
3452.0,3397.8887,3848.0
3484.0,3429.028,3790.0
1856.0,1958.6346,3295.0
3692.0,3589.995,2830.0
3869.0,3730.4243,2435.0
3933.0,3785.4507,2496.0
3717.0,3613.467,2082.0
3769.0,3631.822,1824.0
3628.0,3490.7642,1597.0
3495.0,3369.6917,1510.0
3518.0,3367.9465,1272.0
3543.0,3402.6191,1180.0
3385.0,3289.3408,1080.0
3546.0,3430.8071,1133.0
3679.0,3536.924,1238.0
3777.0,3618.5107,1514.0
3842.0,3692.4788,1985.0
3964.0,3800.08,2283.0
4013.0,3855.2668,2795.0
3992.0,3842.888,3213.0
3871.0,3750.14,3409.0
3929.0,3812.6907,3506.0
3926.0,3803.4343,3566.0
3903.0,3792.1667,3468.0
4015.0,3885.4714,3452.0
4079.0,3936.2551,3484.0
4052.0,3906.4692,1856.0
3721.0,3655.334,3692.0
1911.0,2065.5862,3869.0
3701.0,3648.1052,3933.0
3580.0,3564.92,3717.0
3727.0,3673.7034,3769.0
3758.0,3695.6365,3628.0
3784.0,3720.7751,3495.0
3450.0,3449.8694,3518.0
3345.0,3369.3152,3543.0
3556.0,3543.576,3385.0
2961.0,3026.387,3546.0
2952.0,3006.8699,3679.0
2193.0,2308.0864,3777.0
2498.0,2583.631,3842.0
2629.0,2696.8032,3964.0
2942.0,2988.5881,4013.0
3041.0,3057.845,3992.0
3153.0,3126.2625,3871.0
3218.0,3171.2297,3929.0
3100.0,3076.0393,3926.0
3266.0,3247.1287,3903.0
3305.0,3294.676,4015.0
3264.0,3268.1726,4079.0
3716.0,3628.2126,4052.0
3901.0,3756.3909,3721.0
