Feature,F-score
GB_GBN_wind_offshore_profile,207177.43071899898
lag_24,14033.961702688586
lag_48,6071.6787865801125
Basel Wind Speed [850 mb],5419.088808290824
Basel Wind Speed [900 mb],5398.10043873272
